NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3 ,ALLOTMENT,PSWD
aaaa,vvvv,aaaa21@gmail.com,120,0,1,2,-,a
aaab,vvvw,aaab34@gmail.com,135,0,2,3,-,a
aaac,vvvx,aaac78@gmail.com,165,3,1,2,-,a
aaad,vvvy,aaad.45@outlook.com,128,0,0,0,-,a
aaae,vvvz,aaae@yahoo.com,151,0,1,1,-,a
bbba,wwwv,bbba@gmail.com,158,2,2,3,-,a
bbbb,wwww,bbbb.23ww@gmail.com,133,1,2,3,-,a
bbbc,wwwx,bbbc.81x@yahoo.com,136,2,2,2,-,a
bbbd,wwwy,bbbd@gmail.com,178,0,1,2,-,a
bbbe,wwwz,bbbe.12@rediffmail.com,179,1,2,3,-,a
ccca,xxxv,ccca33.xx@yahoo.com,109,0,1,2,-,a
cccb,xxxw,cccb@gmail.com,127,0,3,3,-,a
cccc,xxxx,cccc.441zz@gmail.com,102,0,1,1,-,a
cccd,xxxy,cccd@outlook.com,95,1,3,2,-,a
ccce,xxxz,ccce@rediffmail.com,114,3,2,2,-,a
ddda,yyyv,ddda55@gmail.com,136,0,1,3,-,a
dddb,yyyw,dddb.89x@rediffmail.com,159,0,1,3,-,a
dddc,yyyx,dddc23@gmail.com,100,2,2,3,-,a
dddd,yyyy,dddd@gmail.com,192,0,2,1,-,a
ddde,yyyz,ddde7@yahoo.com,188,0,0,0,-,a
eeea,pqrs,ddde7@yahoo.com,134,0,2,1,,a
eeeb,stve,ddde7@yahoo.com,124,1,3,2,,a
eeeb,mdfg,ddde7@yahoo.com,145,1,2,3,,a
eeec,were,ddde7@yahoo.com,120,2,1,3,,a
eeed,wwwd,ddde7@yahoo.com,154,1,0,1,,a
eeee,trrr,ddde7@yahoo.com,153,3,1,0,,a
fffa,xxyz,ddde7@yahoo.com,123,1,2,3,,a
fffb,rwtw,ddde7@yahoo.com,167,0,2,1,,a
fffc,mmmo,ddde7@yahoo.com,134,0,2,1,,a
fffd,ytyt,ddde7@yahoo.com,189,0,2,3,,a
fffe,errr,ddde7@yahoo.com,175,2,1,3,,a
ggga,erwq,ddde7@yahoo.com,148,3,2,1,,a
gggb,uiop,ddde7@yahoo.com,174,1,2,3,,a
gggc,tyre,ddde7@yahoo.com,147,0,2,3,,a
gggd,hywe,ddde7@yahoo.com,142,0,3,1,,a
ggge,cgdf,ddde7@yahoo.com,181,0,3,1,,a
gggf,trji,ddde7@yahoo.com,139,1,3,2,,a
gggg,asdf,ddde7@yahoo.com,142,0,1,3,,a
samruddhi,deode,samruddhi321@gmail.com,200,0,1,2,'--',samdeo
